Name,Invoice,Status,delivery_date,variable,value,unit_price,dollar_val
Consume - Chicago,INV-044593,Delivered,6/18/21,BOC - wholesale,20,12.0,240.0
Sunnyside - South Beloit,INV-044705,Delivered,6/21/21,BOC - wholesale,88,12.0,1056.0
Sunnyside - Rockford,INV-044706,Delivered,6/21/21,BOC - wholesale,48,12.0,576.0
Rise - Joliet (Rock Creek),INV-044709,Delivered,6/21/21,BOC - wholesale,64,12.0,768.0
Rise - Joliet (Colorado Ave),INV-044710,Delivered,6/21/21,BOC - wholesale,104,12.0,1248.0
Rise - Naperville,INV-044711,Delivered,6/21/21,BOC - wholesale,36,12.0,432.0
Rise - Lake in the Hills,INV-044712,Delivered,6/21/21,BOC - wholesale,240,12.0,2880.0
Rise - Niles,INV-044713,Delivered,6/21/21,BOC - wholesale,184,12.0,2208.0
Sunnyside - Champaign,INV-044821,Delivered,6/22/21,BOC - wholesale,16,12.0,192.0
Nature's Care - West Loop,INV-044823,Delivered,6/22/21,BOC - wholesale,24,12.0,288.0
Curaleaf - Melrose Park,INV-044824,Delivered,6/22/21,BOC - wholesale,36,12.0,432.0
Curaleaf - Weed Street,INV-044825,Delivered,6/22/21,BOC - wholesale,20,12.0,240.0
Rise - Effingham,INV-044828,Delivered,6/22/21,BOC - wholesale,80,12.0,960.0
Mission - South Chicago,INV-044832,Delivered,6/22/21,BOC - wholesale,100,12.0,1200.0
Mission - Calumet City,INV-044833,Delivered,6/22/21,BOC - wholesale,100,12.0,1200.0
Sunnyside - Danville,INV-045049,Delivered,6/23/21,BOC - wholesale,64,12.0,768.0
Curaleaf - Deerfield,INV-045051,Delivered,6/23/21,BOC - wholesale,36,12.0,432.0
Rise - Canton,INV-045053,Delivered,6/23/21,BOC - wholesale,40,12.0,480.0
Rise - Quincy,INV-045054,Delivered,6/23/21,BOC - wholesale,24,12.0,288.0
Ascend - Fairview,INV-045055,Delivered,6/23/21,BOC - wholesale,76,12.0,912.0
Nature's Care - Rolling Meadows,INV-045057,Delivered,6/23/21,BOC - wholesale,44,12.0,528.0
Curaleaf - Justice,INV-045146,Delivered,6/24/21,BOC - wholesale,92,12.0,1104.0
Zen Leaf - Highland Park,INV-045148,Delivered,6/24/21,BOC - wholesale,28,12.0,336.0
Curaleaf - Morris,INV-045252,Delivered,6/25/21,BOC - wholesale,92,12.0,1104.0
Zen Leaf - Prospect Heights,INV-045254,Delivered,6/25/21,BOC - wholesale,36,12.0,432.0
Curaleaf - Northbrook,INV-045405,Delivered,6/28/21,BOC - wholesale,152,12.0,1824.0
Rise - Joliet (Colorado Ave),INV-045415,Delivered,6/28/21,BOC - wholesale,132,12.0,1584.0
Rise - Niles,INV-045416,Delivered,6/28/21,BOC - wholesale,128,12.0,1536.0
The Herbal Care Center,INV-045417,Delivered,6/28/21,BOC - wholesale,28,12.0,336.0
MedMen - Oak Park,INV-045418,Delivered,6/28/21,BOC - wholesale,28,12.0,336.0
