state,door,account,Delivery,sales_rep
CA,Depot - Ohana Gardens,Eaze,Yes,Elyse
CA,Depot - Fume Cotati,Eaze,Yes,Elyse
CA,Gencan - High Times Delivery,High Times Delivery,No,Ryan
CA,Mountain High Recreation (High Times),High Times Delivery,No,Ryan
CA,Planet Budz,* Independent Kiva Sales & Service,No,Ryan
CA,Shango,* Independent Kiva Sales & Service,No,Ryan
CA,Token Farms,* Independent Kiva Sales & Service,No,Ryan
CA,Cookies Hayward,Cookies Corp,No,Jen
CA,BudsBox,* Independent Kiva Sales & Service,No,Ryan
CA,Iguana Collective,* Independent Kiva Sales & Service,No,Ryan
CA,Pure CA,* Independent Kiva Sales & Service,No,Ryan
CA,Rooted Cannabis Group - Oakland,Rooted Cannabis Group,No,Ryan
CA,Bento Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,Long Beach Wellness Center,* Independent Kiva Sales & Service,No,Ryan
CA,Rockstar Cannabis Club Inc,* Independent Kiva Sales & Service,No,Ryan
CA,Calibueno,* Independent Kiva Sales & Service,No,Ryan
CA,Amuse Delivery,Amuse,No,Elyse
CA,MMD - Hollywood,MMD,No,Ryan
CA,"ALTERNATIVES, A HEALTH COLLECTIVE",* Independent Kiva Sales & Service,No,Ryan
CA,Green Brier,* Independent Kiva Sales & Service,No,Ryan
CA,"Caliva CAMISJ2, Inc",The Parent Co.,No,TBH
CA,Nibble This,Stiiizy,No,Jen
CA,Roots,* Independent Kiva Sales & Service,No,Ryan
CA,"Depot - Clearlake Growth Fund II, Inc",Eaze,Yes,Elyse
CA,Flight on Cherry,* Independent Kiva Sales & Service,No,Ryan
CA,Tahoe Green,* Independent Kiva Sales & Service,No,Ryan
CA,BayQueen,* Independent Kiva Sales & Service,No,Ryan
CA,Moonflower Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,Down Under Industries Inc,* Independent Kiva Sales & Service,No,Ryan
CA,Kind Delivery,* Independent Kiva Sales & Service,No,Ryan
CA,Lit La Mesa,* Independent Kiva Sales & Service,No,Ryan
CA,Depot - Wilson St.,Eaze,Yes,Elyse
CA,Fiori,* Independent Kiva Sales & Service,No,Ryan
CA,Jade Room - Shannon,Jade Room,No,Ryan
CA,HPC - Port Hueneme,* Independent Kiva Sales & Service,No,Ryan
CA,Rebud - Elodie,Rebud,No,Ryan
